Author,Additional Authors,Title,Year,Publication,Publisher,Media Format,Link,Region,Country,Language,Theme_1,Theme_2,Theme_3,Theme_4,Open Source?,other tags/notes
"Lipsitz, George",,How Racism Takes Place,2011,,Temple University Press,Book - Entire,https://books.google.ca/books/about/How_Racism_Takes_Place.html?id=lv0musrlBGYC&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Segregation and Redlining,Racial and Social Justice,,,,
"Huyghues Belrose, Vincent",,La société d'habitation: une civilisation historique,2016,,Potomitan,Online Material,https://kapeskreyol.potomitan.info/dissertation.php,Caribbean,Multiple countries / Global,French,Urban History,"Culture, Placemaking, and Black Geographies","Politics of Land, Property, and Colonialism",,,
"Lokko, Lesley",,In it together,2015,Just City Essays: Volume One,"J. Max Bond Center, CUNY",Book - Chapter,https://static1.squarespace.com/static/5b5dfb72697a9837b1f6751b/t/5b7d8b5a88251b1adad06c60/1534954340713/JustCityEssays.pdf,Africa,Multiple countries / Global,English,Racial and Social Justice,,,,,
"Lokko, Lesley",,Wait Just A Minute: Lesley Lokko,2019,,Chicago Council on Global Affairs,Video,https://www.youtube.com/watch?v=yoL2ykQZNWo,Global,Multiple countries / Global,English,Architecture and Urban Design,Black Perspectives on Planning Practice and Education,,,,
"Lokko, Lesley (ed.)",,"White papers, black marks: Architecture, race and culture",2000,,University of Minnesota Press,Book - Entire,https://books.google.ca/books?id=ti6hGzvF0N4C&printsec=frontcover#v=onepage&q&f=false,Global,Multiple countries / Global,English,Architecture and Urban Design,,,,,
"Long, Herman H.",Charles Spurgeon Johnson,People vs. Property; Race Restrictive Covenants in Housing,1947,,Fisk University Press,Book - Entire,https://books.google.ca/books/about/People_Vs_Property.html?id=jIIGAQAAIAAJ&redir_esc=y,North America,United States,English,Segregation and Redlining,,,,,
"Lundi, Daphne",,Rewriting the Urban Planning Canon,2020,Planning Magazine,American Planning Association,Online Material,https://www.planning.org/planning/2020/feb/intersections-viewpoint/,North America,United States,English,Black Perspectives on Planning Practice and Education,,,,,
"Maditla, Neo",,"On resisting gentrification, social housing and the removal of statues in Central Park",2018,,Design Indaba,Online Material,https://www.designindaba.com/articles/creative-work/resisting-gentrification-social-housing-and-removal-statues-central-park,North America,United States,English,Development and Gentrification,Public Space and Parks,"Culture, Placemaking, and Black Geographies",,,
"Mbembe, Achille",,Nécropolitique,2006,Raisons politiques,,Journal Article,https://www.cairn.info/revue-raisons-politiques-2006-1-page-29.htm,Global,Multiple countries / Global,French,"Politics of Land, Property, and Colonialism",Racial and Social Justice,,,,
"McCray, Talia",Nicole Brais,Exploring the Role of Transportation in Fostering Social Exclusion: The Use of GIS to Support Qualitative Data,2007,Networks and Spatial Economics: A Journal of Infrastructure Modeling and Computation,,Journal Article,https://www.researchgate.net/publication/225409109_Exploring_the_Role_of_Transportation_in_Fostering_Social_Exclusion_The_Use_of_GIS_to_Support_Qualitative_Data,North America,United States,English,Transportation,Mapping and GIS,,,,
"McCray, Talia",,Engaging disadvantaged populations in transport studies: Linking modal use and perceptions of safety to activity patterns,2009,Research in Transportation Economics,,Journal Article,https://www.sciencedirect.com/science/article/abs/pii/S0739885909000316,North America,United States,English,Transportation,Mapping and GIS,,,,
"McCray, Talia",Sabina Mora,Analyzing the Activity Spaces of Low-Income Teenagers: How Do They Perceive the Spaces Where Activities are Carried Out?,2011,Journal of Urban Affairs,,Journal Article,https://www.tandfonline.com/doi/abs/10.1111/j.1467-9906.2011.00563.x?journalCode=ujua20,North America,United States,English,Public Space and Parks,"Crime, Policing, and Surveillance",Mapping and GIS,,,
"McCray, Talia",,The Bus Stops Here: African Americans & Urban Transportation,2012,,Blackademics TV,Video,https://www.youtube.com/watch?v=2kndhLt931E ,North America,United States,English,Transportation,,,,,
"McKittrick, Katherine",Clyde Woods,Black Geographies and the Politics of Place,2007,,South End Press,Book - Entire,https://books.google.ca/books/about/Black_Geographies_and_the_Politics_of_Pl.html?id=SLJ2AAAAMAAJ&source=kp_book_description&redir_esc=y,North America,United States,English,"Culture, Placemaking, and Black Geographies",,,,,
"McKittrick, Katherine",,Plantation Futures,2013,Small Axe,,Journal Article,https://muse.jhu.edu/article/532740/pdf,North America,United States,English,"Politics of Land, Property, and Colonialism",Racial and Social Justice,"Culture, Placemaking, and Black Geographies",,,
"Miller, Matthew Jordan",,Social Finance in Black Geographies: A Statistical Analysis of Locations in Los Angeles County,2015,Harvard Journal of African American Public Policy,,Journal Article,https://www.academia.edu/12006570/Social_Finance_in_Black_Geographies_A_Statistical_Analysis_of_Locations_in_Los_Angeles_County,North America,United States,English,Segregation and Redlining,Development and Gentrification,"Culture, Placemaking, and Black Geographies",,,
"Miller, Matthew Jordan",,"The Geography of Black Commerce and Culture: Los Angeles, California, and Beyond",2018,,University of Southern California,Thesis,http://digitallibrary.usc.edu/cdm/ref/collection/p15799coll89/id/55128,North America,United States,English,Development and Gentrification,"Culture, Placemaking, and Black Geographies",,,,
"Mitchell, Melvin",,African American Architects: Embracing Culture and Building Urban Communities,2020,,Katherine Williams Publishing,Book - Entire,https://books.google.ca/books/about/African_American_Architects.html?id=Dbc4zQEACAAJ&redir_esc=y,North America,United States,English,Architecture and Urban Design,,,,,
"Mitchell, Melvin",,The Crisis of the African-American Architect: Conflicting Cultures of Architecture and (Black) Power,2002,,iUniverse,Book - Entire,https://books.google.ca/books/about/The_Crisis_of_the_African_American_Archi.html?id=Ihoc1YctF64C&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Architecture and Urban Design,,,,,
"Mitchell, Melvin",,Lecture on African American Architects: Embracing Culture and Building Urban Communities,2020,,Morgan State University,Video,https://www.youtube.com/watch?v=u0t_rFKVFeM ,North America,United States,English,Architecture and Urban Design,,,,,
"Mock, Brentin",,Why Detroit residents pushed back against tree-planting,2019,,Grist,Online Material,https://grist.org/article/why-detroit-residents-pushed-back-against-tree-planting/,North America,United States,English,Community Organizing and Citizen Participation,"Sustainability, Environment, and Health",,,,
"Mock, Brentin",,Behind the Black Architectural Resistance,2017,,CityLab,Online Material,https://www.citylab.com/design/2017/05/black-architectural-insurgency-in-the-trump-era/527316/,North America,United States,English,Architecture and Urban Design,,,,,
"Mock, Brentin",,"There Are No Urban Design Courses on Race and Justice, So We Made Our Own Syllabus",2015,,CityLab,Online Material,https://www.bloomberg.com/news/articles/2015-05-14/black-students-at-harvard-s-graduate-school-of-design-say-there-are-no-courses-on-race-and-justice-so-we-made-one,North America,United States,English,Black Perspectives on Planning Practice and Education,,,,,
"Mondesir, Coretta",,"Paul Perez, Homeownership and Wealth Building Advocate",2019,,BlackandUrban,Online Material,https://www.blackandurban.com/sustainability-habitation/2020/1/15/paul-perez-homeownership-and-wealth-building-advocate,North America,United States,English,Public Housing and Cooperatives,Segregation and Redlining,Development and Gentrification,,,
"Mondesir, Coretta",,Amazon Played Y'all Part 1,2018,,BlackandUrban,Online Material,https://www.blackandurban.com/social-urbanism/2019/8/24/amazon-played-yall-part-1,North America,United States,English,Development and Gentrification,,,,,
"Mondesir, Coretta",,Amazon Played Y'all Part 2,2019,,BlackandUrban,Online Material,https://www.blackandurban.com/social-urbanism/2019/8/25/amazon-played-yall-part-2,North America,United States,English,Development and Gentrification,,,,,
"Montgomery, Alesia F.",,Greening the Black Urban Regime: The Culture and Commerce of Sustainability in Detroit,2020,,Wayne State University,Book - Entire,https://books.google.ca/books/about/Greening_the_Black_Urban_Regime.html?id=55upDwAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,"Sustainability, Environment, and Health",Development and Gentrification,Municipal Policy and Governance,Community Organizing and Citizen Participation,,
"Montgomery, Alesia F.",,Creation Before Creation: Meditation on Democracy in Detroit,2015,Michigan Quarterly Review,,Journal Article,https://quod.lib.umich.edu/cgi/t/text/text-idx?cc=mqr;c=mqr;c=mqrarchive;idno=act2080.0054.119;view=text;rgn=main;xc=1;g=mqrg,North America,United States,English,Community Organizing and Citizen Participation,,,,,
"Montgomery, Alesia F.",,Different Futures for Different Neighborhoods: The Sustainability Fix in Detroit,2015,Ethnography,,Journal Article,https://journals.sagepub.com/doi/abs/10.1177/1466138115570460,North America,United States,English,"Sustainability, Environment, and Health",Community Organizing and Citizen Participation,,,,
"Montgomery, Alesia F.",,Ghettos and Enclaves in the Cross-Place Realm: Mapping Socially Bounded Spaces Across Cities,2011,International Journal of Urban & Regional Research,,Journal Article,https://www.researchgate.net/publication/51625987_Ghettos_and_Enclaves_in_the_Cross-Place_Realm_Mapping_Socially_Bounded_Spaces_Across_Cities,North America,United States,English,Community Organizing and Citizen Participation,Segregation and Redlining,,,,
"Montgomery, Alesia F.",,"Reappearance of the Public: Placemaking, Minoritization and Resistance in Detroit",2016,International Journal of Urban and Regional Research,,Journal Article,https://doi.org/10.1111/1468-2427.12417,North America,United States,English,"Culture, Placemaking, and Black Geographies",Community Organizing and Citizen Participation,Municipal Policy and Governance,,,
"Moore, Darnell",,Urban Spaces and the Mattering of Black Lives,2015,Just City Essays: Volume One,"J. Max Bond Center, CUNY",Book - Chapter,https://static1.squarespace.com/static/5b5dfb72697a9837b1f6751b/t/5b7d8b5a88251b1adad06c60/1534954340713/JustCityEssays.pdf,North America,United States,English,"Crime, Policing, and Surveillance",Development and Gentrification,Racial and Social Justice,,,
"Moore, Justin Garrett",,Past Forward: Roots and Recovery in the American City,2012,Cities and the Environment,,Journal Article,https://www.academia.edu/1929811/Past_Forward_Roots_and_Recovery_in_the_American_City,North America,United States,English,Racial and Social Justice,Development and Gentrification,Community Organizing and Citizen Participation,"Sustainability, Environment, and Health",,
"Moore, Justin Garrett",,"Making a Difference: Reshaping the Past, Present, and Future Toward Greater Equity",2017,Forum Journal,,Journal Article,https://muse.jhu.edu/article/685874,North America,United States,English,Racial and Social Justice,Community Organizing and Citizen Participation,,,,
"Moore, Justin Garrett",,Justin Garrett Moore: On Humility And Loving Our Cities (Because it's bigger than you),2015,,Creative Mornings,Video,https://www.youtube.com/watch?v=MugG6lhQ7Tg,North America,United States,English,"Culture, Placemaking, and Black Geographies",Development and Gentrification,,,,
"Moore, Justin Garrett",,Elevated Chicago Symposium - Keynote Speaker Justin Garrett Moore,2019,,Elevated Chicago,Video,https://www.youtube.com/watch?v=LOnb-pflmDQ,North America,United States,English,"Culture, Placemaking, and Black Geographies",Development and Gentrification,,,,
"Moore, Natalie Y",,The South Side: A Portrait of Chicago and American Segregation,2017,,Picador,Book - Entire,https://books.google.ca/books/about/The_South_Side.html?id=EAyGCwAAQBAJ&source=kp_book_description&redir_esc=y,North America,United States,English,Segregation and Redlining,"Culture, Placemaking, and Black Geographies",,,,
"Mugabo, Délice",,Black in the city: On the ruse of ethnicity and language in an antiblack landscape,2018,Identities,,Journal Article,https://doi.org/10.1080/1070289X.2018.1545816,North America,Canada,English,"Culture, Placemaking, and Black Geographies",,,,,immigration
"Nangwaya, Ajamu",Kali Akuno,"Jackson Rising: The Struggle for Economic Democracy and Black Self-Determination in Jackson, Mississippi",2017,,Daraja Press,Book - Entire,https://darajapress.com/publication/jackson-rising-the-struggle-for-economic-democracy-and-self-determination-in-jackson-mississippi ,North America,United States,English,Community Organizing and Citizen Participation,Racial and Social Justice,Municipal Policy and Governance,"Culture, Placemaking, and Black Geographies",,
"Nicholas, Byron",,"The Master Planners of New York: Inside Look at Brownsville, BK",2019,,BlackandUrban,Online Material,https://www.blackandurban.com/sustainability-habitation/2020/1/15/the-master-planners-of-new-york-inside-look-at-brownsville-bk,North America,United States,English,Municipal Policy and Governance,Community Organizing and Citizen Participation,Development and Gentrification,,,
"Nicholas, Byron",,How Urban Planning Shaped Old Benin City,2020,,BlackandUrban,Online Material,https://www.blackandurban.com/sustainability-habitation/2020/1/29/urban-planning-in-benin-city,Africa,Nigeria,English,Urban History,,,,,
"Nicholas, Byron","Williams, Kyle",Transit Policing: Is it Necessary? The Making of America's Police-State Capitol,2019,,BlackandUrban,Online Material,https://www.blackandurban.com/transportationcontent/transit-policing,North America,United States,English,Transportation,"Crime, Policing, and Surveillance",,,,
"Nicholas, Byron",,Oonee: The Next Cool Thing for Urban Transportation,2019,,BlackandUrban,Online Material,https://www.blackandurban.com/transportationcontent/2019/7/3/682uibracg2dslsmvq7xdrtl3d7l1t,North America,United States,English,Transportation,,,,,
"Nicholas, Byron",,"Racism in Transportation Policy is Inconvenient, Unjust and Can Have Deadly Effects",2018,,BlackandUrban,Online Material,https://www.blackandurban.com/transportationcontent/2019/7/4/racism-in-transportation-policy-is-inconvenientnbspunjust-and-can-have-deadly-effects,North America,United States,English,Transportation,,,,,
"Olosunde, Sola",,Mutual Housing Associations: A Potential Solution To Slow Gentrification,2020,,BlackandUrban,Online Material,https://www.blackandurban.com/sustainability-habitation/2020/2/15/mutual-housing-associations-a-potential-solution-to-slow-gentrification,North America,United States,English,Public Housing and Cooperatives,Development and Gentrification,,,,
"Owens, Michael Leo","Sumner, Jane Lawrence",Regional or Parochial? Support for Cross-Community Sharing within City-Regions,2018,Journal of Urban Affairs,,Journal Article,https://www.tandfonline.com/doi/abs/10.1111/juaf.12279?journalCode=ujua20,North America,United States,English,Community Organizing and Citizen Participation,,,,,
"Owens, Michael Leo","Rodriguez, Akira Drake and Brown, Robert A.",“Let’s Get Ready to Crumble”: Black Municipal Leadership and Public Housing Transformation in the United States,2020,Urban Affairs Review,,Journal Article,https://doi.org/10.1177/1078087419901299,North America,United States,English,Municipal Policy and Governance,Public Housing and Cooperatives,Development and Gentrification,,,
"Owens, Michael Leo",,Transportation Tax Could be Tough Sell,2010,,Atlanta Journal-Constitution,Online Material,https://www.ajc.com/news/opinion/transportation-tax-could-tough-sell/8uP8mUGpfLE1quXrbppSCO/,North America,United States,English,Municipal Policy and Governance,Transportation,,,,
"Paterson, Eva",,Celebrate Rosa Parks and the Montgomery Bus Boycott: End Race Discrimination in Public Transport Today,2006,"Race, Poverty, and the Environment",,Journal Article,https://www.jstor.org/stable/41555223?seq=1#metadata_info_tab_contents,North America,United States,English,Municipal Policy and Governance,Transportation,Racial and Social Justice,,,
"Patterson, Orlando",,The Social and Cultural Matrix of Black Youth,2015,The Cultural Matrix: Understanding Black Youth,Harvard University Press,Book - Chapter,https://books.google.ca/books/about/The_Cultural_Matrix.html?id=wfhoBgAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,"Culture, Placemaking, and Black Geographies",,,,,
"Pattillo, Mary",,Black Picket Fences: Privilege and Peril among the Black Middle Class,1999,,University of Chicago Press,Book - Entire,https://books.google.ca/books/about/Black_Picket_Fences.html?id=FcQE9BxztkoC&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,"Culture, Placemaking, and Black Geographies",Segregation and Redlining,,,,
"Pattillo, Mary",,Black on the Block: The Politics of Race and Class in the City,2007,,University of Chicago Press,Book - Entire,https://books.google.ca/books/about/Black_on_the_Block.html?id=2EN0ZagpA1AC&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Development and Gentrification,Community Organizing and Citizen Participation,,,,
"Pattillo, Mary",,Making Fair (Public) Housing Claims in a Post-Racism Legal Context,2009,Journal of Affordable Housing,,Journal Article,https://www.jstor.org/stable/25782839,North America,United States,English,Public Housing and Cooperatives,,,,,
"Perry, Andre M.",,Know Your Price: Valuing Black Lives and Properties in America’s Black Cities,2020,,Princeton University Press,Book - Entire,https://books.google.ca/books/about/Know_Your_Price.html?id=9vqGDwAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Development and Gentrification,"Politics of Land, Property, and Colonialism",Racial and Social Justice,,,
"Perry, Andre M.",,Why Black Cities Matter,2017,,Brookings Institution,Online Material,https://www.brookings.edu/podcast-episode/why-black-cities-matter/ ,North America,United States,English,"Culture, Placemaking, and Black Geographies",,,,,
"Perry, Andre M.",," Recognizing majority-black cities, when their existence is being questioned",2017,,Brookings Institution,Online Material,https://www.brookings.edu/blog/the-avenue/2017/10/04/recognizing-majority-black-cities-when-their-existence-is-being-questioned/  ,North America,United States,English,"Culture, Placemaking, and Black Geographies",,,,,
"Perry, Ravi K.",," Black Mayors, White Majorities: The Balancing Act of Racial Politics",2014,,University of Nebraska Press,Book - Entire,https://books.google.ca/books/about/Black_Mayors_White_Majorities.html?id=7TkpDwAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Municipal Policy and Governance,,,,,
"Perry, Ravi K.",,Black Mayors in Non-Majority (Medium-Sized) Cities: Universalizing the Interests of Blacks,2009,Ethnic Studies Review,,Journal Article,https://online.ucpress.edu/esr/article-abstract/32/1/89/34231/Black-Mayors-in-Non-Majority-Black-Medium-Sized?redirectedFrom=fulltext,North America,United States,English,Municipal Policy and Governance,,,,,
"Pitter, Jay",John Lorinc,Subdivided: City-Building in an Age of Hyper-Diversity,2016,,Coach House Books,Book - Entire,https://books.google.ca/books/about/Subdivided.html?id=fampDAAAQBAJ&source=kp_book_description&redir_esc=y,North America,Canada,English,Municipal Policy and Governance,Racial and Social Justice,,,,
"Pitter, Jay",,A Call to Courage: An open letter to Canadian urbanists,2020,,,Online Material,https://canurb.org//wp-content/uploads/OpenLetter-ACallToCourage-Final-June2020.pdf,North America,Canada,English,Black Perspectives on Planning Practice and Education,,,,,
"Pitter, Jay",,The High Price of Housing Snippet,2017,,,Video,https://www.youtube.com/watch?v=QqCzTKmVjsc,North America,Canada,English,Public Housing and Cooperatives,,,,,
"Pitter, Jay","Orlando Bailey, Tamika Butler, Anthonia Ogundele, and Will Prosper",How do we respond to anti-Black racism in urbanist practices and conversations?,2020,,Canadian Urban Institute,Video,https://www.youtube.com/watch?v=RVzSWayeMPE,North America,Canada,English,Racial and Social Justice,Black Perspectives on Planning Practice and Education,,,,
"Pitts, Steven",,Transit Unions: Key Allies in the Struggle for Transportation Justice,2006,"Race, Poverty, and the Environment",,Journal Article,https://www.jstor.org/stable/41555244?seq=1#metadata_info_tab_contents,North America,United States,English,Transportation,,,,,
"Rodriguez, Akira Drake",,Housing Preservation as a Means Toward Social Justice,2019,,Housing Policy Debate,Journal Article,https://www.tandfonline.com/doi/full/10.1080/10511482.2018.1506395,North America,United States,English,Racial and Social Justice,"Culture, Placemaking, and Black Geographies",,,,
"Rodriguez, Akira Drake",,More than Shelter: Activism and Community in San Francisco Public Housing,2015,,"Housing, Theory and Society",Journal Article,https://www.tandfonline.com/doi/abs/10.1080/14036096.2015.1026088?journalCode=shou20,North America,United States,English,Public Housing and Cooperatives,Community Organizing and Citizen Participation,,,,
"Rodriguez, Akira Drake",,"The politics of Atlanta's public housing: Race, planning, and inclusion, 1936-1975",2014,,Rutgers University,Thesis,https://rucore.libraries.rutgers.edu/rutgers-lib/44087/PDF/1/play/,North America,United States,English,Public Housing and Cooperatives,,,,,
"Ross, Catherine",,Megaregions: Planning for Global Competitiveness,2009,,Island Press,Book - Entire,https://books.google.ca/books/about/Megaregions.html?id=whPOKnkOn_4C&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Black Perspectives on Planning Practice and Education,Development and Gentrification,,,,
"Ross, Catherine",,Transport and megaregions: high-speed rail in the United States,2011,The Town Planning Review,,Journal Article,https://www.researchgate.net/publication/260062727_Transport_and_Megaregions_High-Speed_Rail_in_the_United_States,North America,United States,English,Transportation,Development and Gentrification,,,,
"Ross, Lynn (Working Group Co-Chair)",,Planning for Equity Policy Guide,2019,,American Planning Association,Online Material,https://www.planning.org/publications/document/9178541/,North America,United States,English,Black Perspectives on Planning Practice and Education,Municipal Policy and Governance,Racial and Social Justice,,,
"Sere, Neba","Baden-Powell, Umi ",Decolonising Architecture,2020,100 Day Studio,Black Females in Architecture,Video,https://www.youtube.com/watch?v=OHXwinkzfgc,North America,United States,English,Architecture and Urban Design,Racial and Social Justice,,,,
"Slocum, Karla",,"Black Towns, Black Futures: The Enduring Allure of a Black Place in the American West",2019,,University of North Carolina Press,Book - Entire,https://books.google.ca/books/about/Black_Towns_Black_Futures.html?id=PRGwDwAAQBAJ&source=kp_book_description&redir_esc=y,North America,United States,English,"Culture, Placemaking, and Black Geographies",,,,,
"Spencer, Scot",,The Long Ride,2015,Just City Essays: Volume One,"J. Max Bond Center, CUNY",Book - Chapter,https://static1.squarespace.com/static/5b5dfb72697a9837b1f6751b/t/5b7d8b5a88251b1adad06c60/1534954340713/JustCityEssays.pdf,North America,United States,English,Transportation,Racial and Social Justice,,,,
"Summers, Brandi Thompson",,Black in Place: The Spatial Aesthetics of Race in a Post-Chocolate City,2019,,University of North Carolina Press,Book - Entire,https://uncpress.org/book/9781469654010/black-in-place/,North America,United States,English,"Culture, Placemaking, and Black Geographies",Development and Gentrification,,,,
"Summers, Brandi Thompson","Howell, Kathryn","Fear and Loathing (of others): Race, Class and Contestation of Space in Washington, DC",2019,International Journal of Urban and Regional Research,,Journal Article,https://www.ijurr.org/article/fear-and-loathing-of-others-race-class-and-contestation-of-space-in-washington-dc/,North America,United States,English,"Culture, Placemaking, and Black Geographies",Development and Gentrification,Public Space and Parks,,,
"Summers, Brandi Thompson",,What Black America Knows About Quarantine,2020,,The New York Times,Online Material,https://www.nytimes.com/2020/05/15/opinion/sunday/coronavirus-ahmaud-arbery-race.html,North America,United States,English,"Crime, Policing, and Surveillance",Racial and Social Justice,,,,
"Sutton, Sharon E.",,When Ivory Towers Were Black: A Story about Race in America's Cities and Universities,2016,,Fordham University Press,Book - Entire,https://books.google.ca/books/about/When_Ivory_Towers_Were_Black.html?id=RZWUDwAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Black Perspectives on Planning Practice and Education,Architecture and Urban Design,Racial and Social Justice,,,
"Sutton, Sharon E.",Susan P. Kemp,The Paradox of Urban Space: Inequality and Transformation in Marginalized Communities,2011,,Palgrave Macmillian,Book - Entire,https://books.google.ca/books/about/The_Paradox_of_Urban_Space.html?id=4XLFAAAAQBAJ&redir_esc=y,North America,United States,English,"Culture, Placemaking, and Black Geographies",Racial and Social Justice,,,,
"Sutton, Sharon E.",,"Special Issue ""Designing Spaces for City Living""",2014,Buildings,,Journal Article,https://www.mdpi.com/journal/buildings/special_issues/designing_spaces_for_city_living,North America,United States,English,Racial and Social Justice,Architecture and Urban Design,Community Organizing and Citizen Participation,,,
"Sutton, Stacey",,Gentrification and the Increasing Significance of Racial Transition in New York City 1970-2010,2018,Urban Affairs Review,,Journal Article,https://journals.sagepub.com/doi/10.1177/1078087418771224,North America,United States,English,Development and Gentrification,,,,,
"Sutton, Stacey",,Cooperative Cities: Municipal Support for Worker Cooperatives in the United States,2019,Journal of Urban Affairs,,Journal Article,https://www.tandfonline.com/doi/abs/10.1080/07352166.2019.1584531?journalCode=ujua20,North America,United States,English,Municipal Policy and Governance,Public Housing and Cooperatives,,,,
"Sutton, Stacey",,What we don’t understand about gentrification,2015,,TedX New York,Video,https://www.youtube.com/watch?v=XqogaDX48nI ,North America,United States,English,Development and Gentrification,,,,,
"Taylor, Keeanga-Yamahtta",,Race for Profit: How Banks and the Real Estate Industry Undermined Black Homeownership,2019,,University of North Carolina Press,Book - Entire,https://books.google.ca/books/about/Race_for_Profit.html?id=BNqsDwAAQBAJ&source=kp_book_description&redir_esc=y,North America,United States,English,Segregation and Redlining,,,,,
"Taylor, Tiffany-Ann",,Women Changing Transportation: Tiffany-Ann Taylor,2019,,,Online Material,https://transitcenter.org/women-changing-transportation-tiffany-ann-taylor/,North America,United States,English,Transportation,Feminist and Queer Urbanism ,,,,
"Thomas, Destiny",,‘Safe Streets’ Are Not Safe for Black Lives,2020,CityLab,,Online Material,https://www.citylab.com/perspective/2020/06/open-streets-transportation-planning-urban-design-racism/612763/ ,North America,United States,English,Public Space and Parks,"Crime, Policing, and Surveillance",,,,
"Thomas, June Manning",,Racial Inequality and Empowerment: Necessary Theoretical Constructs for Understanding Planning History,1998,Making the Invisible Visible: A Multicultural Planning History,University of California Press,Book - Chapter,https://books.google.ca/books?hl=en&lr=&id=W7cwDwAAQBAJ&oi=fnd&pg=PA198&dq=Racial+Inequality+and+Empowerment:+Necessary+Theoretical+Constructs+for+Understanding+Planning+History&ots=vTY910ap6N&sig=vliaaEEzPJmpCRtZT5wk5kHw2GU#v=onepage&q=Racial%20Inequality%20and%20Empowerment%3A%20Necessary%20Theoretical%20Constructs%20for%20Understanding%20Planning%20History&f=false,North America,United States,English,Community Organizing and Citizen Participation,Urban History,Racial and Social Justice,,,
"Thomas, June Manning",,"Social Justice as Responsible Practice:  Race, Ethnicity, and the Influence of the Civil Rights Era",2012,"Planning Ideas That Matter: Livability, Territoriality, Governance, and Reflective Practice",MIT Press,Book - Chapter,https://books.google.ca/books?hl=en&lr=&id=VZb6AQAAQBAJ&oi=fnd&pg=PA359&ots=hv7A3BIPSb&sig=VaMlgeJYc5EQx5V2tfmlsdqGpQY#v=onepage&q&f=false,North America,United States,English,Racial and Social Justice,Black Perspectives on Planning Practice and Education,,,,
"Thomas, June Manning",,The Role of Ethnicity and Race in Supporting Sustainable Urban Environments,2012,Urban Sustainability: A Global Perspective,Michigan State University Press,Book - Chapter,https://muse.jhu.edu/chapter/647268/pdf,North America,United States,English,"Sustainability, Environment, and Health",Racial and Social Justice,,,,
"Thomas, June Manning",,"Addressing the Racial, Ethnic, and Class Implications of Shrinking Cities",2012,Rebuilding America’s Legacy Cities: New Directions for the Industrial Heartland," Columbia University, American Assembly",Book - Chapter,https://books.google.ca/books/about/Rebuilding_America_s_Legacy_Cities.html?id=emsSMwEACAAJ&source=kp_book_description&redir_esc=y,North America,United States,English,Development and Gentrification,Racial and Social Justice,,,,
"Thomas, June Manning",,"Community Organizing, Planning, and Racial Marginalisation",2016,The Participatory City,Jovis,Book - Chapter,https://books.google.ca/books/about/The_Participatory_City.html?id=aOUUswEACAAJ&source=kp_book_description&redir_esc=y,North America,United States,English,Racial and Social Justice,Community Organizing and Citizen Participation,Black Perspectives on Planning Practice and Education,,,
"Thomas, June Manning",,Urban Planning and the African American Community: In the Shadows,1997,,Sage Publications,Book - Entire,https://us.sagepub.com/en-us/nam/urban-planning-and-the-african-american-community/book5746,North America,United States,English,Black Perspectives on Planning Practice and Education,Municipal Policy and Governance,Racial and Social Justice,,,
"Thomas, June Manning",H.C. Bekkering,"Mapping Detroit:  Land, Community, and Shaping a City",2015,,Wayne State University Press,Book - Entire,https://www.wsupress.wayne.edu/books/detail/mapping-detroit,North America,United States,English,Urban History,Development and Gentrification,Mapping and GIS,,,
"Thomas, June Manning",,Redevelopment and Race: Planning a Finer City in Postwar Detroit,1997,,Johns Hopkins University Press,Book - Entire,https://taubmancollege.umich.edu/faculty/faculty-publications/redevelopment-and-race-planning-finer-city-postwar-detroit,North America,United States,English,Urban History,Development and Gentrification,,,,
"Thomas, June Manning",,Planning and Industrial Decline: Lessons from Postwar Detroit,1990,Journal of the American Planning Association,,Journal Article,https://www.tandfonline.com/doi/abs/10.1080/01944369008975774,North America,United States,English,Urban History,Development and Gentrification,,,,
"Thomas, June Manning",,Planning History and the Black Urban Experience: Linkages and Contemporary Implications,1994,Journal of Planning Education and Research,,Journal Article,https://journals.sagepub.com/doi/10.1177/0739456X9401400101,North America,United States,English,Development and Gentrification,Urban History,,,,
"Thomas, June Manning",,Neighborhood Planning: Uses of Oral History,2004,Journal of Planning History,,Journal Article,https://journals.sagepub.com/doi/abs/10.1177/1538513203262047?journalCode=jpha,North America,United States,English,Community Organizing and Citizen Participation,,,,,
